부위,질환명,정의,원인,증상,관련질환,진료과
전신,결절성 다발동맥염(Polyarteritis nodosa),"결절성 다발동맥염은 중요 장기에 피를 공급하는 중간 크기의 동맥에 염증이 생겨 혈액 공급이 원활치 않아 장기에 손상을 주는 질환입니다. 폐를 제외한 중요 장기에 영향을 줍니다. 혈관에 염증이 생기면, 혈관이 약해지거나 늘어나며 파열 또는 협착이 생깁니다.","결절성 다발동맥염의 가장 큰 원인은 백혈구가 조직이나 장기를 공격하는 자가면역 질환입니다. 이 질환의 명확한 원인이 밝혀지지는 않았지만, 일부 환자에게 B형 및 C형 간염 바이러스가 발견되었다는 점을 통해 이 질환이 바이러스와 관련이 있을 것이라고 추측됩니다. 이 질환은 대부분 40~50대에 나타나며, 환자의 남녀 비율이 비슷합니다.","결절성 다발동맥염의 증상은 백혈구가 침범하는 장기에 따라 다양합니다. 주로 피부, 생식기계, 중추신경계, 말초신경계, 심혈관계, 복부 등에 침입합니다. 환자의 절반 정도는 백혈구가 위장관을 침범하여 나타나는 배꼽 주위의 통증, 구토, 설사, 혈변 등의 증상을 겪습니다.","혈관염, 급성 B형 간염, 급성 C형 간염, 심내막염",혈관외과
전신,결핵(Tuberculosis),"결핵은 결핵균이 침입하여 발생하는 병입니다. 결핵은 호흡기 분비물로 옮겨지는 전염성 질환으로, 환자와 접촉하는 가족 중에서 발생하는 경우가 많습니다. 누구든지 결핵에 걸릴 가능성이 있으나 결핵균이 침입한다고 해서 모두 다 발병하는 것은 아닙니다. 결핵균이 침입한 후 체내의 저항력이 약해지면 발병할 확률이 높아집니다.","결핵균은 주로 사람에서 사람으로, 공기를 통하여 전파됩니다. 즉 전염성이 있는 결핵 환자가 말하거나 기침 또는 재채기를 하면, 결핵균이 포함된 미세한 분비물 방울이 공기 중에 떠다니다가 주위에 있는 사람들이 숨을 들이쉴 때 공기와 함께 폐 속으로 들어가 증식하여 감염이 진행됩니다.","결핵균은 매우 천천히 증식하면서 우리 몸의 영양분을 소모시키고, 조직과 장기를 파괴합니다. 그렇기 때문에 결핵을 앓고 있는 환자의 상당수는 기운이 없고 입맛이 없어지며 체중이 감소하는 증상이 나타나기도 합니다. 또한 무력감이나 쉽게 피로를 느끼고 기운이 없거나 식욕이 떨어지는 것도 일반적인 증상입니다. 체중이 감소하고 미열이 있거나 잠잘 때 식은땀을 흘리기도 합니다. ","결핵성 골수염, 위장관 결핵, 결핵성 복막염, 결핵성 임파선염, 속립성 결핵, 폐결핵, 결핵성 수막염",감염내과
전신,결핵성 수막염(Tuberculous meningitis),결핵성 수막염은 결핵균이 뇌척수막을 침입하여 염증을 일으키는 질환입니다. 몸속에 결핵균을 보유한 환자의 결핵균이 뇌를 둘러싼 수막으로 이동하여 발생한다고 알려져 있습니다.,"일반적으로 결핵균이 체내에 침입하면 폐에서 감염을 일으킨 후 주변의 림프절로 이동합니다. 이때 결핵균은 혈액을 타고 이동합니다. 결핵성 수막염은 혈류를 따라 이동하던 결핵균이 뇌막이나 뇌 조직에 침투하고, 이 부위에 결핵균이 다량 존재하는 결절을 형성하면서 시작됩니다. 이후에 이 결절이 터지면 다량의 결핵균과 끈적끈적한 삼출물이 거미막 밑 공간으로 흘러나오면서 뇌 바닥의 여러 구조물에 유착을 일으켜 뇌 기능 부전을 초래합니다. 또한 염증 반응에 의해 뇌 바닥을 지나가는 크고 작은 혈관이 막혀서 뇌경색이 발생할 수도 있습니다.","초기에는 미열, 권태감, 두통, 졸림, 혼돈 등의 임상 증상이 나타날 수 있고, 진찰상 가벼운 경부 자극이 관찰될 수 있습니다. 결핵성 수막염의 특징은 이러한 증상들이 세균성 수막염에 비해 다소 느린 속도로 약 1~2주일에 걸쳐 경과되는 것입니다.",후천성 면역결핍증,감염내과
전신,결핵성 임파선염(Tuberculous lymphadenitis),"결핵성 임파선염이란 결핵균이 림프계(경부 임파선염이 가장 많지만, 액와, 종격동, 복강 내, 사타구니 임파선염도 가능함)를 침범하여 결핵성 염증을 일으키는 질환을 의미합니다.","결핵성 임파선염의 원인은 호흡기를 통해 전파되는 결핵균입니다. 폐결핵 환자가 기침하거나 재채기하거나 웃거나 이야기할 때, 눈에 보이지 않을 만큼 작은 가래에 들어 있는 결핵균이 나와서 건강한 사람이 숨 쉴 때 폐에 들어가 전염됩니다. 이렇게 폐로 들어온 결핵균은 인접한 임파선이나 혈액을 타고 나가는데, 이 과정에서 결핵성 임파선염을 유발합니다.","결핵균이 침투하는 인체 부위에 따라 증상이 달라질 수 있습니다. 가장 흔한 결핵성 경부 림프염의 경우 목 주위가 붓고 여러 개의 결절이 만져집니다. 보통은 1~2개월 동안 모르고 지나다가 결절이 커진 후에야 발견하는 경우가 많습니다. 일반적으로는 미열, 이유 없는 체중 감소, 식욕 부진, 식은땀, 피로감, 목 부위의 통증 등을 호소합니다. 림프 결핵이 상당히 진행되면 림프선이 커져서 농양이 형성되는데, 고름이 피부로 터져 나와 피부 궤양 및 누공이 형성되어서야 병원에 찾아오기도 합니다.","결핵성 골수염, 위장관 결핵, 결핵성 복막염, 속립성 결핵, 폐결핵, 결핵성 수막염, 결핵",감염내과
전신,고나트륨혈증(Hypernatremia),"우리 몸은 체중의 60%가 물로 이루어져 있고, 이 중 1/3은 세포 외에, 2/3는 세포 내에 존재합니다. 세포벽을 사이에 두고 세포 안과 밖을 오고 가는 물의 이동은 혈액의 삼투질 농도에 의하여 결정되며, 삼투질 농도가 낮은 쪽에서 높은 쪽으로 물이 이동하게 됩니다. 사람 혈액 내의 정상 삼투질 농도는 체중 1kg당 280~295mOsm 범위이고, 대부분 삼투질 농도는 혈액의 나트륨 농도에 의하여 결정됩니다. 나트륨의 혈중농도가 여러가지 이유로 정상수준보다 높은 것을 고나트륨혈증이라고 하는데, 보통 혈중농도가 145mEq/L 이상인 경우입니다. 고나륨혈증이 급성인 경우에 증상이 매우 심하게 나타나며, 특히 고령자와 영아의 고나트륨증은 이병률 및 사망률이 매우 높습니다.","고나트륨혈증은 치료받지 않은 요붕증, 당뇨병, 신장질환이나 금식, 연하곤란, 갈증 중추의 기능이 저하되어 수분 섭취를 제대로 하지 못하는 경우(영아, 노인에서 주로 발생), 발열, 구토, 설사로 과다한 수분이 소실되거나, 충분한 수분 공급이 안 되는 경우, 나트륨을 과다 섭취한 경우에 발생할 수 있습니다.","가장 흔한 증상은 탈수로 인한 심한 갈증이며, 오심, 구토, 식욕부진, 빈호흡, 피부 긴장도 저하 등이 동반됩니다. 급성기의 증상은 혈중나트륨이 158mEq/L 이상일 때 나타나고, 두통, 안절부절 못함, 운동실조, 의식 혼미, 섬망, 경련, 혼수 등의 신경학적 증상이 나타나고 185mEq/L 이상이면 사망을 초래합니다. 그리고 고나트륨증이 발생하면 세포 내의 수분이 세포 외로 이동하게 되는데, 특히 뇌세포에 이러한 병태가 진행되면 의식장애, 쇠약감, 혼수, 경련 등의 증상이 나타나게 됩니다.","당뇨병, 신부전, 요붕증",신장내과
전신,고마그네슘혈증(Hypermagnesemia),"고마그네슘혈증이란 혈장 마그네슘의 농도가 2.2mEq/L 이상 상승된 상태를 말합니다. 정상적으로는 신장에서 매우 효과적으로 마그네슘을 배설하기 때문에 드물게 발생하나, 일단 이상이 발생하면 혈장의 칼륨, 칼슘과 상관 관계가 있으므로 대부분 이들의 이상이 함께 동반되어 있습니다.","고마그네슘혈증은 마그네슘 제제를 과량 복용하여 생길 수 있지만 신장에서의 배설이 효과적이기 때문에 크게 문제되지 않습니다. 그러나 마그네슘은 장에서 30%, 신장에서 95%가 재흡수되므로 신장 기능이 떨어진 신부전 환자에서는 발생률이 높으며, 그 외 마그네슘이 포함되어 있는 제산제나 변비약 등을 장기 복용시, 케톤산혈증으로 탈수가 심한 환자, 조기 진통 조절, 임신 중독으로 인한 고혈압 치료시 황산마그네슘을 과다투여한 경우, 횡문근 융해증, 부갑상선기능항진증, 갑상선 기능저하증 등에서 발생할 수 있습니다.","경증에서는 말초혈관이 확장되어 혈압이 저하되고, 근력감소, 마비, 보행장애, 의식장애, 오심, 구토등의 증상이 발현하며, 중증인 경우에는 혼수, 서맥, 호흡저하, 부정맥 등이 나타납니다. 특히, 고마그네슘혈증에서는 심장 박동을 조절하는 전도 시스템에 장애가 발생하는데, 혈중 농도가 10.0mEq/L 이상에서는 완전 방실차단 등의 부정맥이 발생하고 13.0mEq/L 이상에서는 심정지가 초래됩니다.","당뇨병, 신부전, 부갑상선기능항진증",신장내과
전신,고산병(Mountain sickness),"고산병은 산의 고도가 높아짐에 따라 저산소증이 생길 때 이를 보상하기 위한 신체의 변화를 의미합니다. 고산병은 보통 2,400m 이상의 높이에서 나타납니다. 산을 오를 때 힘들어서 생기는 숨쉬기 힘든 현상과는 다릅니다.",높은 곳은 낮은 곳보다 산소가 부족하여 호흡 시 산소의 흡입이 부족해집니다. 이를 보상하기 위해 호흡수가 늘어나면서 혈액의 점성이 떨어지고 혈액이 신체 곳곳에 산소를 전달하지 못하여 여러 가지 신체 변화가 일어납니다.,"산의 오르막(경사) 정도나 산의 높이, 고산지대에서의 신체활동 정도, 개인의 감수성에 따라 증상이 다르게 나타날 수 있습니다.",폐부종,가정의학과
전신,고셔병(Gaucher disease),"고셔병은 글루코세레브로시데이즈(Glucocerebrosidase)라는 효소에 유전적인 이상이 생겨서 발생하는 질환입니다. 이는 글루코세레브로시드(glucocerebroside)를 분해하는 효소인데, 이것이 결핍되면 글루코세레브로시드가 비장, 간, 림프에 축적됩니다. 아슈케나지 유대인(Ashkenazi Jews)에게서 특히 많이 나타나는 것으로 알려졌지만, 현재는 모든 민족에게 나타나는 질환으로 여겨지고 있습니다. 1형, 2형, 3형으로 구분되며, 유형에 따라 증상과 발병 연령에 차이가 있습니다.","인체는 재순환을 통해 부수어진 세포 조각을 제거하는 대식세포를 가지고 있습니다. 세포 조각의 제거 과정은 리소좀(Lysosmes)이라고 불리는 세포 구획 안에서 진행됩니다. 이 리소좀 안에 글루코세레브로시데이즈(Glucocerebrosidase)라는 효소가 존재하는데, 이 효소는 세레마이드(Ceramide)라는 지방과 글루코스(Glucose)라는 당으로 구성된 글루코세레브로시드(Glucocerebroside)를 분해합니다. ","고셔병 환자에게 가장 먼저 나타나는 증상은 비장 비대입니다. 피로, 빈혈, 혈소판 감소 등이 있을 수도 있습니다. 뼈를 심하게 침범하면 통증이 생기고, 고관절, 어깨, 척추의 뼈가 내려앉습니다. 폐와 뇌 기능이 저하됩니다. 3형 환자의 경우는 신경계 증상으로 간질 발작, 퇴행 등을 보입니다. 2형 환자는 영유아기에 발생하는 가장 심한 형태입니다.","의학유전학센터, 소아신경과, 의학유전학과",
전신,고칼륨혈증(Hyperkalemia),고칼륨혈증이란 혈중 칼륨 농도가 정상(3.7~5.3mEq/L) 이상으로 과도하게 상승하여 5.5mEq/L 이상이 된 상태를 의미합니다.,"고칼륨혈증의 가장 큰 원인은 신장 기능의 감소입니다. 칼륨의 90%가 신장을 통해 배설되기 때문입니다. 이로 인해 신부전 환자의 50% 이상에게서 고칼륨혈증이 나타날 수 있습니다. 그 외에 당뇨, 심한 외상, 광범위한 화상, 감염, 근육 분해, 스트레스, 수혈로 인한 용혈 현상이 일어난 경우, 칼륨을 포함한 수액을 과다 투여한 경우 발생할 수 있습니다.","보통 6.0 mEq/L 미만의 심하지 않은 고칼륨혈증에서는 증상이 나타나지 않습니다. 혈중 칼륨 농도가 7.0mEq/L 이상이 되면 근육 무력감, 피로감, 반사 저하, 저린 감각, 오심, 구토, 설사 등의 증상이 나타납니다. 증상이 심해지면 근육 마비, 호흡 부전, 저혈압, 부정맥 등의 증상을 보이다가 심정지가 올 수도 있습니다.","당뇨병, 신부전, 화상",신장내과
전신,고칼슘혈증(Hypercalcemia),"고칼슘혈증은 혈중 칼슘 농도가 10.5mg/dL 이상이거나 이온화 칼슘이 4.2mg/dL 이상인 상태를 의미합니다. 심할 경우 생명까지 위협할 수 있는 비교적 흔한 대사 합병증입니다.
 
칼슘은 체내 골 형성, 호르몬 분비, 근육 수축, 신경과 뇌 기능 조절에 중요한 미네랄 중 하나입니다. 칼슘 농도가 정상 범위 이상으로 상승하면 이러한 기능에 영향을 미칩니다.","혈중 칼슘 농도는 크게 부갑상선호르몬과 비타민 D, 칼시토닌에 의해 조절됩니다. 칼슘은 우리 몸에서 소장을 통해 흡수되어 신장을 통해 배설됩니다. 뼈는 칼슘을 저장하는 저장소 역할을 하며 적절한 칼슘 농도를 유지하기 위해 활동합니다. 따라서 이런 역할을 수행하는 호르몬이나 장기에 이상이 생기면 칼슘 농도가 변화합니다.","고칼슘혈증의 임상 증상은 다른 질환의 증상과 유사하며 비특이적입니다. 고칼슘혈증이 경도(12.0mg/dL 이하)인 경우 증상이 없지만, 예민한 사람은 오심, 탈수증, 다뇨증, 변비 및 식욕 부진 등을 호소하기도 합니다. 혈청 칼슘 농도가 12.0mg/dL 이상 증가하면 전신 쇠약감, 피로, 우울증, 의식 장애, 고혈압, 부정맥, 췌장염이나 궤양 등의 증상이 나타나고, 15mg/dL 이상 증가하면 의식을 잃을 수도 있습니다.","폐암, 유방암, 다발골수종, 백혈병, 부신 기능부전, 신부전, 부갑상선기능항진증",내분비내과
전신,고콜레스테롤혈증(Pure hypercholesterolemia),"고콜레스트롤혈증은 혈액 내 콜레스테롤이 과도하여 발생하는 질환입니다. 콜레스테롤은 우리 몸의 뇌, 신경, 근육, 피부, 간, 창자, 심장 등 어디에나 존재합니다. 이는 세포막을 만드는 데 중요할 뿐 아니라 여러 가지 호르몬, 비타민 D, 담즙산을 만드는 데 필요합니다. 그러나 혈액 내의 과도한 콜레스테롤은 동맥경화를 촉진합니다.","혈액 내 콜레스테롤 수치는 ‘어떤 음식을 먹는가’뿐만 아니라 ‘몸에서 나쁜 콜레스테롤을 얼마나 빨리 만들어 저장하는가’에 달려 있습니다. 나쁜 콜레스테롤 수치를 조절하는 요인에는 유전, 음식, 체중, 육체적 활동과 운동, 나이와 성별, 음주, 스트레스, 질병이나 약물 등이 있습니다.","고콜레스테롤혈증은 대사성 질환으로, 그 자체로 인한 증상은 없습니다. 동맥경화로 인한 허혈성 심질환이나 뇌혈관 질환이 발병한 후에 그로 인한 증상이 나타나면서 고콜레스테롤혈증이 뒤늦게 발견되기도 합니다.","가정의학과, 내분비내과, 심장내과, 노년내과",
전신,고혈압(Essential (primary) hypertension),"고혈압은 혈압이 여러 원인으로 인해 높아진 상태를 의미합니다. 혈압은 동맥혈관 벽에 대항한 혈액의 압력을 말합니다. 혈액의 압력은 심장이 수축하여 동맥혈관으로 혈액을 보낼 때 가장 높은데, 이때의 혈압을 수축기 혈압이라고 합니다. 또한 심장이 늘어나서 혈액을 받아들일 때 가장 낮은데, 이때의 혈압을 이완기 혈압이라고 합니다. 우리나라 성인 인구의 약 30%가 이러한 혈압이 높아진 증상인 고혈압이 있는 것으로 추정됩니다.","고혈압은 교감 신경에 의한 신경성 요인 및 레닌-안지오텐신 기전에 의한 체액성 요인에 의해 발생합니다. 그러나 유전, 흡연, 남성, 노령화는 고혈압의 유발을 촉진하는 요인입니다.","고혈압은 뚜렷한 증상이 없어 신체검사나 진찰 중에 우연히 발견되는 경우가 적지 않습니다. 고혈압은 ‘소리 없는 죽음의 악마’라고 할 정도로 증상이 없는 경우가 대부분입니다. 간혹 증상이 있어서 병원을 찾는 경우는 두통이나 어지러움, 심계항진, 피로감 등의 혈압 상승에 의한 증상을 호소합니다. 코피나 혈뇨, 시력 저하, 뇌혈관 장애 증상, 협심증 등 고혈압성 혈관 질환에 의한 증상을 호소하기도 합니다. 이차성 고혈압의 경우 종종 원인 질환의 증상을 호소합니다.
 
두통이 있는 경우에도 혈압이 올라갈 수 있습니다. 그런데 대부분의 경우 혈압 때문에 두통이 생기지 않고 두통 때문에 혈압이 올라갑니다. 따라서 두통이 있으면 혈압보다 두통을 먼저 조절해야 합니다. ","양성 종격동 종양, 악성 종격동 종양, 자발성 두개강 내 출혈, 뇌졸중, 망막 박리, 부신 종양, 신부전, 혈뇨, 임신성 고혈압, 급성 신부전, 만성 신부전, 뇌경색, 전이성 신장암, 자간증, 자간전증, 폐성 고혈압, 면역글로불린 A 신병증, 신우요관 폐색, 갈색세포종, 뇌하수체 기능 항진",가정의학과
전신,골감소증(Osteopenia),"골감소증은 골다공증의 전 단계를 의미합니다. 환자의 골밀도를 젊은 성인의 평균값과 비교한 것을 T-값이라 하는데, -2.5 이하를 골다공증, -1.0 이상을 정상이라 하며, 이 중간인 -2.5 와 –1.0 사이를 골감소증이라 합니다.","골감소증의 위험 인자는 다음과 같습니다.
① 청장년기에 낮게 형성된 최대 골량
② 노화 및 폐경으로 인한 골 소실",골절이나 이차적인 구조 변화가 동반되기 전까지는 아무런 증상이 없습니다.,"류마티스 관절염, 골관절염, 폐경, 골다공증, 병리적 골절, 노인성 척추후만증, 폐경기 및 여성의 갱년기 상태, 갑상선기능항진증, 조기 폐경",가정의학과
전신,골괴사(Osteonecrosis),"골괴사는 뼈에 혈액 공급이 되지 않아 뼈조직이 죽어 가는 질환입니다. 신체의 어디서든 발생할 수 있지만, 주로 대퇴부(허벅지 뼈) 위쪽과 팔 위쪽, 어깨, 무릎, 척추 등에서 일어납니다. 모든 연령층에서 발병할 수 있습니다.","골괴사의 원인은 다음과 같습니다.
① 골절, 탈구, 관절이 손상되어 뼈와 뼈 안의 혈관에 손상이 생긴 경우
② 지나친 음주로 생긴 지방 물질이 동맥경화를 일으켜 혈액 순환에 장애가 생긴 경우
③ 스테로이드 계통의 약을 장기간 복용하여 혈관에 지방 물질이 쌓여 혈액 순환이 원활하지 않은 경우. 스테로이드 계통의 약은 류머티스성 관절염, 천식, 혈관염, 전신성 홍반성 낭창과 같은 자가면역 질환에 주로 쓰이는 약입니다. 그래서 신장이식 수술 후나 관절염 치료 후에 골괴사가 나타날 수 있습니다.
④ 이상의 원인과 관련 없이 발생하는 경우","질병 초기에는 별다른 증상이 나타나지 않습니다. 질환이 진행되면서 통증이 느껴지기 시작합니다. 체중을 실어 걷거나 뛰면 통증이 더욱 심해집니다. 나중에는 관절까지 손상을 입어 관절 운동에 제한이 생길 수 있으며, 뼈가 약해져서 작은 충격에도 뼈가 쉽게 부러집니다.",대퇴골두 무혈관성 괴사,정형외과
전신,골다공증(Osteoporosis),"'골다공'은 뼛속에 구멍이 많이 생긴다는 뜻이며, 골다공증은 뼈의 양이 줄어들어 뼈가 얇아지고 약해져 잘 부러지는 질환을 의미합니다. 사춘기에 성인 골량의 90%가 형성되고, 35세부터 골량이 서서히 줄어들다가 50세 전후에 폐경되면서 매우 빠른 속도로 골량이 줄어듭니다. 폐경 후 3~5년 동안 골밀도의 소실이 가장 빠르게 일어납니다.",골다공증의 원인은 다음과 같습니다.,뼈의 특성상 초기에는 특별한 증상이 나타나지 않습니다. 초기 증상 중 하나는 척추뼈가 약해져서 척추가 후만 변형되거나 압박되어 신장이 줄어드는 것입니다. 심한 경우 척추가 체중을 지탱하지 못해서 외상이 없더라도 척추의 앞부분이 일그러지게 됩니다. ,"다발골수종, 폐경, 쿠싱 증후군, 부신 종양, 병리적 골절, 폐경기 및 여성의 갱년기 상태, 부갑상선기능항진증",가정의학과
전신,골덴하 증후군(Goldenhar syndrome),"골덴하 증후군(Goldenhar syndrome)은 1952년 골덴하(Goldenhar)에 의해 처음 명명된 질환으로, 안구 이상, 외이도 협착, 부이, 하악 발육부전, 척추 이상, 선천성 심장 질환 등이 특징입니다. 골덴하 증후군은 얼굴 귓바퀴 척추 증후군(Oculo-Auriculo-Vertebra syndrome)이라고도 불리며, 태어날 때부터 증상이 뚜렷합니다.
골덴하 증후군의 증상은 개인마다 다양하지만 광대뼈, 턱, 입, 귀, 눈, 척추 기형이 특징적으로 나타납니다. 대부분 이러한 기형들이 몸의 한쪽 부분에서 나타납니다. 하지만 약 10∼33%의 환자는 몸의 양쪽에서 기형이 나타나며, 이 경우 몸의 한쪽이 다른 쪽보다 더 심한 증상을 보이며 오른쪽이 왼쪽보다 더 심하게 영향을 받습니다.
골덴하 증후군의 원인은 확실하지 않습니다. 유전 양상에 대해 알려진 것도 없으며 염색체 수도 정상입니다. 발생 빈도는 3,000~5,000명 중 1명입니다. 여성보다 남성에게 더 많이 나타나며, 약 3:2(남:여)의 비율을 보입니다.","골덴하 증후군은 대부분 특정한 원인 없이 산발적으로 발생합니다. 매우 드물게는 상염색체 열성인 경우도 있고, 상염색체 우성 유전의 양상이 나타나기도 합니다. 골덴하 증후군은 많은 유전자의 상호작용으로 인해 발생할 수 있습니다. 특히 환경적인 요인이 결합하여 발생하는 것으로 보고되고 있습니다. 골덴하 증후군을 유발하는 위험 요소로는 특정 화학물질, 약물, 환경, 감염 요인, 질환 등을 들 수 있습니다.","골덴하 증후군의 증상은 개인에 따라 매우 다양하게 나타나지만, 주로 머리, 얼굴, 척추의 이상이 나타납니다. 일차적으로 입, 턱, 귀에 이상이 나타나는 경우가 많습니다. 대부분 몸의 한쪽에서만 증상이 나타납니다.","의학유전학센터, 의학유전학과",
전신,골수염(Osteomyelitis),"골수염은 여러 원인으로 골수에 균이 침입하여 염증이 생긴 질환을 의미합니다. 골수는 우리 몸의 뼛속에 있는 조직으로, 미세 혈관과 신경, 여러 세포로 가득 차 있고, 우리 몸에 필요한 혈액을 만들어 냅니다. 골수염은 성인보다는 소아, 청소년기의 남아에게 많이 발생합니다.","골수염은 외상으로 인한 상처를 통해 세균이 침투하여 발생합니다. 혈행성 골수염은 상기도 감염, 종기 등에 있는 균(황색포도상구균, 연쇄구균, 폐렴균, 인플루엔자균 등)의 혈류를 통한 감염으로 발생합니다.","골수염의 증상은 대부분 갑자기 발생합니다. 전신 증상으로는 피로감, 발열, 식욕 부진이 있으며, 이외에 전신이 아프고 허약해지기도 합니다. 국소 증상으로는 감염 부위의 발열, 통증 등이 있습니다. 소아의 경우 팔, 다리가 움직이지 않기도 합니다. ","척추 골수염, 결핵성 골수염",감염내과
전신,골수증식종양(Myeloproliferative neoplasm),"골수증식종양은 골수의 활동이 병적으로 활발해져 적혈구, 백혈구, 혈소판이 증가하는 질환을 의미합니다. 혈액 속에는 산소를 운반하는 적혈구, 감염을 막는 백혈구, 출혈을 멎게 하는 혈소판이라는 세포들이 포함되어 있습니다. 이러한 혈구 세포들은 골수에서 만들어지며, 혈액 속에서 일정한 수를 유지합니다. 감염이나 영양 상태, 출혈 등과 같은 신체의 변화에 따라 적혈구, 백혈구, 혈소판의 수치가 달라지기도 하지만, 몸 상태가 회복되면 이 수치들은 정상으로 돌아옵니다. ","골수증식종양은 조혈모세포의 비정상적인 증식으로 발생합니다. 정상적인 성숙 과정을 보이는 조혈 작용으로 인해 말초 혈액에서 혈구 세포가 수적으로 증가합니다. 이 질환의 원인은 JAK2, CALR, MPL와 같은 특정 유전자 변이입니다. ","본태성 혈소판 증가증의 경우 혈액을 응고시키는 혈소판의 기능이 항진되어 혈전증이 발생할 수 있으며, 그 기능이 저하되어 멍이 드는 것과 같은 출혈 증상이 나타날 수 있습니다. 혈전이 생성되어 혈관이 막히면 그 부위에 통증이 생기거나 차가워집니다.","혈소판 이상, 신생아 다혈구증, 골수섬유증",혈액내과
전신,골수형성이상증후군(Myelodysplastic syndromes),"골수형성이상증후군은 골수 기능에 이상이 생겨 건강한 혈액세포를 충분히 만들지 못하는 여러 질환을 묶어서 이르는 말입니다. 골수 안에는 조혈모세포가 있으며, 이 세포는 여러 단계를 거쳐 혈액 세포(백혈구, 적혈구, 혈소판)로 성장, 분화합니다. 골수 형성 이상 증후군이 발병하면 조혈모세포의 형태가 이상해지고(형성 이상) 기능을 제대로 하지 못하게 됩니다. 그 결과 혈액세포가 제대로 성숙하지 못해 말초 혈액에 혈액세포가 부족해집니다. 결과적으로 적혈구, 백혈구, 혈소판 등이 감소하여 빈혈, 감염, 출혈 등의 증상이 나타납니다. 또한 10~40% 정도의 환자는 급성 백혈병으로 이행합니다. 
골수형성이상증후군은 젊은 연령층에서 드물게 발생하며, 주로 50~90세 사이에서 발생합니다. 여성보다는 남성에게 발생할 가능성이 큽니다. ","골수형성이상증후군의 원인은 확실하게 밝혀지지 않았습니다. 다만 연령이 높아질수록 골수 내 돌연변이가 축적되는데, 골수형성이상증후군과 관련된 특정한 돌연변이가 발생하는 경우 이 질환으로 진행한다고 추정됩니다. 과거에 항암 치료나 방사선 치료를 시행했을 경우 이 질환이 발생할 가능성이 커지며, 이를 이차성 골수형성이상증후군이라고 합니다. 특정 유전 질환이나 재생불량빈혈에서 이환되는 경우도 있습니다.","골수형성이상증후군 환자에게는 빈혈, 호중구 감소증, 혈소판 감소증 등 말초 혈액의 혈구 감소증으로 인한 증상이 발생합니다. 혈구 감소증이 심할 경우 치명적인 감염 또는 출혈로 인한 합병증이 발생할 수 있으며, 반복적인 수혈이 필요할 수도 있습니다. 50% 이상의 환자는 무증상 상태에서 혈액검사를 하다가 우연히 진단됩니다.
① 빈혈 : 피로감, 전신 쇠약, 호흡곤란, 창백함, 어지럼증
② 백혈구 감소 : 발열, 감염
③ 혈소판 감소 : 출혈, 쉽게 멍이 드는 현상","범혈구감소증, 백혈구 이상, 호중구감소증, 급성골수성백혈병, 재생불량빈혈, 순수적혈구무형성, 판코니범혈구감소증",
전신,골형성부전증(Osteogenesis imperfecta),"골형성부전증(O.I.)은 신체의 큰 충격이나 특별한 원인 없이 뼈가 쉽게 부러지는 유전 질환입니다. 크게 4가지 타입(Type)으로 분류되며, 질환의 중증도에 따라 다양하게 발현됩니다. 어떤 환자는 일생 동안 몇 차례 정도의 골절을 겪지만, 어떤 환자는 수백 차례의 골절을 경험하기도 합니다.","Type Ⅰ, Ⅱ, Ⅳ는 상염색체 우성으로, Type Ⅲ는 상염색체 열성으로 유전되며, 특히 Type Ⅱ가 치명적입니다. 골형성부전증은 인체 내 콜라겐 생성에 관여하는 유전자가 결손되어 발생합니다. 콜라겐은 인체 내 결체조직상 중요한 단백질으로, 건축 구조물의 뼈대와 같은 역할을 합니다. 골형성부전증 환자는 결손된 유전자로 인해 정상보다 적은 양이나 결함이 있는 콜라겐을 생성하며, 이에 따라 뼈가 쉽게 부러지는 증상이 나타납니다.","골형성부전증의 임상 양상은 사람마다 다양하게 발현됩니다. 다른 사람이 같은 타입의 골형성부전증을 가지고 있다고 하더라도, 또 가족 구성원들 여러 명이 골형성부전증을 가지고 있다고 하더라도 그 표현형이 모두 동일하게 나타나는 것은 아닙니다.","연골무형성증, 에이퍼트 증후군 , 크루존 증후군, 연골형성저하증, 저인산증, 니스트 이형성증, 파이퍼 증후군 , 스티클러 증후군",의학유전학센터
전신,곰팡이 감염(Fungal infection),"곰팡이 감염(피부 표재성 곰팡이증)은 진균이 피부의 가장 바깥층인 각질층, 손발톱, 머리카락을 감염하여 발생하는 질환을 의미합니다. 병변 부위에 따라 머리 백선, 체부 백선, 서혜부 백선, 족부 백선, 손발톱 백선, 얼굴 백선, 손 백선 등으로 분류됩니다.",,,"무좀, 조갑백선, 진균성 각막 궤양, 어린선",피부과
전신,"과숙아, 만기 후 출산아(Post-term infant)",,,,"난산, 신생아 가사",신생아과
